brand,prefix,prefix_length,region,verification_status,ingest_tier,example_barcode,source_url,mapping_flag,notes
Zenna,04666505,8,mined,barcode_checked_crossconfirmed,hint_strong,0466650503078,,OK,mined from corpus: 8 barcodes
Hifly,0613365,7,mined,barcode_checked_crossconfirmed,hint_strong,0613365648253,,OK,mined from corpus: 5 barcodes
Kpatos,0636313316,10,mined,barcode_checked_crossconfirmed,hint_strong,0636313316585,,OK,mined from corpus: 13 barcodes
Sailun,064112635,9,mined,barcode_checked_crossconfirmed,hint_strong,0641126352682,,OK,mined from corpus: 21 barcodes
Cordovan,06458907,8,mined,barcode_checked_crossconfirmed,hint_strong,0645890705736,,OK,mined from corpus: 6 barcodes
Blacklion,06458907,8,mined,barcode_checked_crossconfirmed,hint_strong,0645890737638,,OK,mined from corpus: 11 barcodes
Prinx,0655360,7,mined,barcode_checked_crossconfirmed,hint_strong,0655360025257,,OK,mined from corpus: 7 barcodes
Roadx,0655360,7,mined,barcode_checked_crossconfirmed,hint_strong,0655360013773,,OK,mined from corpus: 8 barcodes
Dcenti,0655360,7,mined,barcode_checked_crossconfirmed,hint_strong,0655360000100,,OK,mined from corpus: 9 barcodes
Sigma,0655360,7,mined,barcode_checked_crossconfirmed,hint_strong,0655360009660,,OK,mined from corpus: 14 barcodes
Nankang,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537787095,,OK,mined from corpus: 6 barcodes
Goodride,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537508003,,OK,mined from corpus: 25 barcodes
Fuzion,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537508607,,OK,mined from corpus: 9 barcodes
Nama,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537524270,,OK,mined from corpus: 11 barcodes
Doral,0661537,7,mined,barcode_checked_crossconfirmed,hint_strong,0661537504326,,OK,mined from corpus: 31 barcodes
Doral,06823185,8,mined,barcode_checked_crossconfirmed,hint_strong,0682318580070,,OK,mined from corpus: 8 barcodes
Zeetex,0682318620,10,mined,barcode_checked_crossconfirmed,hint_strong,0682318620516,,OK,mined from corpus: 6 barcodes
Lande,0686162903,10,mined,barcode_checked_crossconfirmed,hint_strong,0686162903412,,OK,mined from corpus: 7 barcodes
Jinyu,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449485296,,OK,mined from corpus: 14 barcodes
Boto,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449483704,,OK,mined from corpus: 6 barcodes
Sunfull,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449495981,,OK,mined from corpus: 7 barcodes
Sumic,0696449,7,mined,barcode_checked_crossconfirmed,hint_strong,0696449569705,,OK,mined from corpus: 10 barcodes
Roadstone,069644963,9,mined,barcode_checked_crossconfirmed,hint_strong,0696449630153,,OK,mined from corpus: 6 barcodes
Fury,069661209,9,mined,barcode_checked_crossconfirmed,hint_strong,0696612097660,,OK,mined from corpus: 61 barcodes
Triangle,0714770701,10,mined,barcode_checked_crossconfirmed,hint_strong,0714770701752,,OK,mined from corpus: 15 barcodes
Nankang,0721749,7,mined,barcode_checked_crossconfirmed,hint_strong,0721749029304,,OK,mined from corpus: 11 barcodes
Neoterra,0721749,7,mined,barcode_checked_crossconfirmed,hint_strong,0721749011200,,OK,mined from corpus: 10 barcodes
Lexani,072439113,9,mined,barcode_checked_crossconfirmed,hint_strong,0724391130206,,OK,mined from corpus: 9 barcodes
Ohtsu,0724391159,10,mined,barcode_checked_crossconfirmed,hint_strong,0724391159511,,OK,mined from corpus: 5 barcodes
Amp,0729419,7,mined,barcode_checked_crossconfirmed,hint_strong,0729419094553,,OK,mined from corpus: 66 barcodes
Presa,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569425662,,OK,mined from corpus: 14 barcodes
Blacklion,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569447664,,OK,mined from corpus: 11 barcodes
Dcenti,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569450428,,OK,mined from corpus: 9 barcodes
Evoluxx,0733569,7,mined,barcode_checked_crossconfirmed,hint_strong,0733569401789,,OK,mined from corpus: 19 barcodes
Kanati,0737245,7,mined,barcode_checked_crossconfirmed,hint_strong,0737245139805,,OK,mined from corpus: 28 barcodes
Westlake,07413170,8,mined,barcode_checked_crossconfirmed,hint_strong,0741317030488,,OK,mined from corpus: 6 barcodes
Kelly,07413179,8,mined,barcode_checked_crossconfirmed,hint_strong,0741317964479,,OK,mined from corpus: 190 barcodes
Douglas,074131796,9,mined,barcode_checked_crossconfirmed,hint_strong,0741317962901,,OK,mined from corpus: 41 barcodes
Vanderbilt,0741466620,10,mined,barcode_checked_crossconfirmed,hint_strong,0741466620820,,OK,mined from corpus: 5 barcodes
Lionhart,074242797,9,mined,barcode_checked_crossconfirmed,hint_strong,0742427977434,,OK,mined from corpus: 8 barcodes
Cordovan,0746573,7,mined,barcode_checked_crossconfirmed,hint_strong,0746573179216,,OK,mined from corpus: 9 barcodes
Multimile,0746573,7,mined,barcode_checked_crossconfirmed,hint_strong,0746573200668,,OK,mined from corpus: 17 barcodes
Advanta,07465732,8,mined,barcode_checked_crossconfirmed,hint_strong,0746573224213,,OK,mined from corpus: 107 barcodes
Sumitomo,07465732,8,mined,barcode_checked_crossconfirmed,hint_strong,0746573225142,,OK,mined from corpus: 7 barcodes
Winda,075839986,9,mined,barcode_checked_crossconfirmed,hint_strong,0758399865044,,OK,mined from corpus: 7 barcodes
Freestar,0762530,7,mined,barcode_checked_crossconfirmed,hint_strong,0762530117329,,OK,mined from corpus: 10 barcodes
Lexani,0765105499,10,mined,barcode_checked_crossconfirmed,hint_strong,0765105499806,,OK,mined from corpus: 5 barcodes
Versatyre,0779283231,10,mined,barcode_checked_crossconfirmed,hint_strong,0779283231509,,OK,mined from corpus: 21 barcodes
Mrf,081002282,9,mined,barcode_checked_crossconfirmed,hint_strong,0810022828427,,OK,mined from corpus: 6 barcodes
Cosmo,0810047080,10,mined,barcode_checked_crossconfirmed,hint_strong,0810047080206,,OK,mined from corpus: 5 barcodes
Kapsen,081013040,9,mined,barcode_checked_crossconfirmed,hint_strong,0810130407392,,OK,mined from corpus: 6 barcodes
Tornel,081013040,9,mined,barcode_checked_crossconfirmed,hint_strong,0810130402274,,OK,mined from corpus: 10 barcodes
Mrf,081013040,9,mined,barcode_checked_crossconfirmed,hint_strong,0810130400461,,OK,mined from corpus: 10 barcodes
Winda,0810136810,10,mined,barcode_checked_crossconfirmed,hint_strong,0810136810615,,OK,mined from corpus: 11 barcodes
Gripmax,0810149131,10,mined,barcode_checked_crossconfirmed,hint_strong,0810149131592,,OK,mined from corpus: 6 barcodes
Rydanz,081229102,9,mined,barcode_checked_crossconfirmed,hint_strong,0812291020991,,OK,mined from corpus: 36 barcodes
Travelstar,081256102,9,mined,barcode_checked_crossconfirmed,hint_strong,0812561020300,,OK,mined from corpus: 42 barcodes
Roadone,081434202,9,mined,barcode_checked_crossconfirmed,hint_strong,0814342023913,,OK,mined from corpus: 13 barcodes
Diamondback,0816456028,10,mined,barcode_checked_crossconfirmed,hint_strong,0816456028792,,OK,mined from corpus: 5 barcodes
Supermax,0819169020,10,mined,barcode_checked_crossconfirmed,hint_strong,0819169020145,,OK,mined from corpus: 23 barcodes
Americus,084050090,9,mined,barcode_checked_crossconfirmed,hint_strong,0840500904855,,OK,mined from corpus: 38 barcodes
Duraturn,08414381,8,mined,barcode_checked_crossconfirmed,hint_strong,0841438121000,,OK,mined from corpus: 18 barcodes
Grenlander,084161110,9,mined,barcode_checked_crossconfirmed,hint_strong,0841611101195,,OK,mined from corpus: 34 barcodes
Windforce,084187710,9,mined,barcode_checked_crossconfirmed,hint_strong,0841877100154,,OK,mined from corpus: 28 barcodes
Lionhart,084216,6,mined,barcode_checked_crossconfirmed,hint_strong,0842164102660,,OK,mined from corpus: 6 barcodes
Jinyu,08421641,8,mined,barcode_checked_crossconfirmed,hint_strong,0842164101052,,OK,mined from corpus: 8 barcodes
Sumitomo,08422100,8,mined,barcode_checked_crossconfirmed,hint_strong,0842210029972,,OK,mined from corpus: 17 barcodes
Gladiator,08444020,8,mined,barcode_checked_crossconfirmed,hint_strong,0844402098933,,OK,mined from corpus: 26 barcodes
Advanta,08444020,8,mined,barcode_checked_crossconfirmed,hint_strong,0844402098582,,OK,mined from corpus: 65 barcodes
Antares,08498490,8,mined,barcode_checked_crossconfirmed,hint_strong,0849849006015,,OK,mined from corpus: 30 barcodes
Maxtrek,08498490,8,mined,barcode_checked_crossconfirmed,hint_strong,0849849018438,,OK,mined from corpus: 17 barcodes
Falken,087718400,9,mined,barcode_checked_crossconfirmed,hint_strong,0877184008852,,OK,mined from corpus: 280 barcodes
Ohtsu Tires,087718400,9,mined,barcode_checked_crossconfirmed,hint_strong,0877184000962,,OK,mined from corpus: 54 barcodes
Nexen,0887613,7,mined,barcode_checked_crossconfirmed,hint_strong,0887613363704,,OK,mined from corpus: 790 barcodes
Roadstone,0887613,7,mined,barcode_checked_crossconfirmed,hint_strong,0887613119417,,OK,mined from corpus: 15 barcodes
Triangle,08881350,8,mined,barcode_checked_crossconfirmed,hint_strong,0888135000627,,OK,mined from corpus: 6 barcodes
Rotalla,09904986,8,mined,barcode_checked_crossconfirmed,hint_strong,0990498646784,,OK,mined from corpus: 7 barcodes
Minerva,09904986,8,mined,barcode_checked_crossconfirmed,hint_strong,0990498647101,,OK,mined from corpus: 19 barcodes
Mirage,09904986,8,mined,barcode_checked_crossconfirmed,hint_strong,0990498642038,,OK,mined from corpus: 22 barcodes
Ovation,09904986,8,mined,barcode_checked_crossconfirmed,hint_strong,0990498657483,,OK,mined from corpus: 38 barcodes
Gislaved,2001214408,10,mined,barcode_checked_crossconfirmed,hint_strong,2001214408406,,OK,mined from corpus: 23 barcodes
Mirage,2001214459,10,mined,barcode_checked_crossconfirmed,hint_strong,2001214459309,,OK,mined from corpus: 5 barcodes
Toledo,200121449,9,mined,barcode_checked_crossconfirmed,hint_strong,2001214497820,,OK,mined from corpus: 8 barcodes
Minerva,2001214508,10,mined,barcode_checked_crossconfirmed,hint_strong,2001214508205,,OK,mined from corpus: 13 barcodes
Syron,425008467,9,mined,barcode_checked_crossconfirmed,hint_strong,4250084673201,,OK,mined from corpus: 23 barcodes
Kenda,47104054,8,mined,barcode_checked_crossconfirmed,hint_strong,4710405480692,,OK,mined from corpus: 60 barcodes
Kenda,47110415,8,mined,barcode_checked_crossconfirmed,hint_strong,4711041531274,,OK,mined from corpus: 121 barcodes
Kenda,47133091,8,mined,barcode_checked_crossconfirmed,hint_strong,4713309159084,,OK,mined from corpus: 104 barcodes
Federal,4713959,7,mined,barcode_checked_crossconfirmed,hint_strong,4713959229106,,OK,mined from corpus: 43 barcodes
Atturo,471395900,9,mined,barcode_checked_crossconfirmed,hint_strong,4713959000408,,OK,mined from corpus: 9 barcodes
Kenda,4717294,7,mined,barcode_checked_crossconfirmed,hint_strong,4717294680806,,OK,mined from corpus: 43 barcodes
Fulda,5452000,7,mined,barcode_checked_crossconfirmed,hint_strong,5452000679932,,OK,mined from corpus: 8 barcodes
Zeetex,62903000,8,mined,barcode_checked_crossconfirmed,hint_strong,6290300024538,,OK,mined from corpus: 29 barcodes
Nokian,6419440,7,mined,barcode_checked_crossconfirmed,hint_strong,6419440291000,,OK,mined from corpus: 1852 barcodes
Landsail,6900532,7,mined,barcode_checked_crossconfirmed,hint_strong,6900532582613,,OK,mined from corpus: 22 barcodes
Delinte,6901532,7,mined,barcode_checked_crossconfirmed,hint_strong,6901532702018,,OK,mined from corpus: 37 barcodes
Joyroad,690168101,9,mined,barcode_checked_crossconfirmed,hint_strong,6901681016523,,OK,mined from corpus: 20 barcodes
Haida,69053220,8,mined,barcode_checked_crossconfirmed,hint_strong,6905322012011,,OK,mined from corpus: 32 barcodes
Lexani,692110901,9,mined,barcode_checked_crossconfirmed,hint_strong,6921109012531,,OK,mined from corpus: 9 barcodes
Lionhart,692110901,9,mined,barcode_checked_crossconfirmed,hint_strong,6921109013156,,OK,mined from corpus: 15 barcodes
Aplus,692406410,9,mined,barcode_checked_crossconfirmed,hint_strong,6924064107915,,OK,mined from corpus: 18 barcodes
Mazzini,692459021,9,mined,barcode_checked_crossconfirmed,hint_strong,6924590213081,,OK,mined from corpus: 13 barcodes
Comforser,69398017,8,mined,barcode_checked_crossconfirmed,hint_strong,6939801703138,,OK,mined from corpus: 14 barcodes
Roadlux,694265991,9,mined,barcode_checked_crossconfirmed,hint_strong,6942659914489,,OK,mined from corpus: 23 barcodes
Sunny,69503063,8,mined,barcode_checked_crossconfirmed,hint_strong,6950306337222,,OK,mined from corpus: 6 barcodes
Sunfull,695391312,9,mined,barcode_checked_crossconfirmed,hint_strong,6953913128559,,OK,mined from corpus: 16 barcodes
Keter,695961370,9,mined,barcode_checked_crossconfirmed,hint_strong,6959613706615,,OK,mined from corpus: 36 barcodes
Neoterra,695961372,9,mined,barcode_checked_crossconfirmed,hint_strong,6959613722356,,OK,mined from corpus: 14 barcodes
Windforce,6970004901,10,mined,barcode_checked_crossconfirmed,hint_strong,6970004901846,,OK,mined from corpus: 5 barcodes
Winrun,697014611,9,mined,barcode_checked_crossconfirmed,hint_strong,6970146110298,,OK,mined from corpus: 21 barcodes
Powertrac,697014945,9,mined,barcode_checked_crossconfirmed,hint_strong,6970149450575,,OK,mined from corpus: 23 barcodes
Antares,8498490,7,mined,barcode_checked_crossconfirmed,hint_strong,8498490465614,,OK,mined from corpus: 15 barcodes
Arroyo,868111066,9,mined,barcode_checked_crossconfirmed,hint_strong,8681110666281,,OK,mined from corpus: 37 barcodes
Waterfall,868111066,9,mined,barcode_checked_crossconfirmed,hint_strong,8681110660142,,OK,mined from corpus: 39 barcodes
Blackhawk,88481160,8,mined,barcode_checked_crossconfirmed,hint_strong,8848116035644,,OK,mined from corpus: 415 barcodes
Thunderer,88591054,8,mined,barcode_checked_crossconfirmed,hint_strong,8859105408707,,OK,mined from corpus: 36 barcodes
Cosmo,885910541,9,mined,barcode_checked_crossconfirmed,hint_strong,8859105417174,,OK,mined from corpus: 32 barcodes
Crosswind,88592914,8,mined,barcode_checked_crossconfirmed,hint_strong,8859291406389,,OK,mined from corpus: 27 barcodes
Leao,88592914,8,mined,barcode_checked_crossconfirmed,hint_strong,8859291403159,,OK,mined from corpus: 35 barcodes
Atlas,885929141,9,mined,barcode_checked_crossconfirmed,hint_strong,8859291413912,,OK,mined from corpus: 40 barcodes
Lexani,88592958,8,mined,barcode_checked_crossconfirmed,hint_strong,8859295809438,,OK,mined from corpus: 13 barcodes
Arroyo,88592958,8,mined,barcode_checked_crossconfirmed,hint_strong,8859295817235,,OK,mined from corpus: 6 barcodes
Arisun,88593055,8,mined,barcode_checked_crossconfirmed,hint_strong,8859305596174,,OK,mined from corpus: 305 barcodes
Otani,88593849,8,mined,barcode_checked_crossconfirmed,hint_strong,8859384901678,,OK,mined from corpus: 32 barcodes
Radar,88864595,8,mined,barcode_checked_crossconfirmed,hint_strong,8886459516390,,OK,mined from corpus: 130 barcodes
Patriot,88864595,8,mined,barcode_checked_crossconfirmed,hint_strong,8886459544973,,OK,mined from corpus: 29 barcodes
American Tourer,88864595,8,mined,barcode_checked_crossconfirmed,hint_strong,8886459567675,,OK,mined from corpus: 216 barcodes
Alliance,89036350,8,mined,barcode_checked_crossconfirmed,hint_strong,8903635018759,,OK,mined from corpus: 6 barcodes
Blackhawk,89353412,8,mined,barcode_checked_crossconfirmed,hint_strong,8935341201576,,OK,mined from corpus: 86 barcodes
Advance,893620692,9,mined,barcode_checked_crossconfirmed,hint_strong,8936206920816,,OK,mined from corpus: 22 barcodes
Advance,8938539571,10,mined,barcode_checked_crossconfirmed,hint_strong,8938539571062,,OK,mined from corpus: 9 barcodes
Accelera,899423402,9,mined,barcode_checked_crossconfirmed,hint_strong,8994234020304,,OK,mined from corpus: 147 barcodes
Accelera,899702061,9,mined,barcode_checked_crossconfirmed,hint_strong,8997020610963,,OK,mined from corpus: 312 barcodes
Versatyre,955000000,9,mined,barcode_checked_crossconfirmed,hint_strong,9550000002869,,OK,mined from corpus: 77 barcodes
Fullway,955000000,9,mined,barcode_checked_crossconfirmed,hint_strong,9550000001763,,OK,mined from corpus: 36 barcodes
Rotalla,99049864,8,mined,barcode_checked_crossconfirmed,hint_strong,9904986407444,,OK,mined from corpus: 35 barcodes
