canonical_product_uid,brand,model,size_canonical,size_compact,barcode,barcode_type,manufacturer_part_number,source_url,missing_fields,reason,harvested_at,run_id
,nokian,,225/50R16,2255016,6419440214443,ean,6419440214443,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:08:14Z,upcitemdb_001
,sumitomo,,235/60R18,2356018,746573248318,upc,746573248318,https://www.upcitemdb.com/info-sumitomo_tires,missing model,missing model,2026-06-23T06:08:27Z,upcitemdb_001
,laufenn,,235/60R18,2356018,715459374168,upc,715459374168,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,235/40R19,2354019,715459448142,upc,715459448142,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,265/70R18,2657018,715459448401,upc,715459448401,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,225/55R17,2255517,715459373871,upc,715459373871,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,245/70R16,2457016,715459394371,upc,715459394371,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,235/55R19,2355519,715459448111,upc,715459448111,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,245/55R19,2455519,715459448418,upc,715459448418,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,225/45R19,2254519,715459539673,upc,715459539673,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,245/40R19,2454019,715459448166,upc,715459448166,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,245/45R20,2454520,715459448258,upc,715459448258,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,255/50R20,2555020,715459448265,upc,715459448265,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,255/40R18,2554018,715459387953,upc,715459387953,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,laufenn,,205/50R17,2055017,715459388110,upc,715459388110,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:08:29Z,upcitemdb_001
,radar,,35x12.50R18,35125018,8886459515126,ean,8886459515126,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:08:54Z,upcitemdb_001
,radar,,33x12.50R20,33125020,8886459515133,ean,8886459515133,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:08:54Z,upcitemdb_001
,radar,,35x12.50R22,35125022,8886459515188,ean,8886459515188,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:08:54Z,upcitemdb_001
,federal,,195/60R15,1956015,4713959225887,ean,4713959225887,https://www.upcitemdb.com/info-federal_tires,missing model,missing model,2026-06-23T06:08:58Z,upcitemdb_001
,lexani,,225/55R17,2255517,682318594220,upc,682318594220,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:09:00Z,upcitemdb_001
,lexani,,ST205/75R15,2057515,682318594770,upc,682318594770,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:09:00Z,upcitemdb_001
,lexani,,265/30R22,2653022,6921109012609,ean,6921109012609,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:09:00Z,upcitemdb_001
,lionhart,,275/35R24,2753524,6921109013309,ean,6921109013309,https://www.upcitemdb.com/info-lionhart_tires,missing model,missing model,2026-06-23T06:09:02Z,upcitemdb_001
,kumho,,235/60R18,2356018,8808956278403,ean,8808956278403,https://www.upcitemdb.com/info-kumho_tires,missing model,missing model,2026-06-23T06:10:47Z,upcitemdb_001
,nitto,,37x11.50R20,37115020,4981910537656,ean,4981910537656,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:10:52Z,upcitemdb_001
,nitto,,LT285/55R20,2855520,4981910540090,ean,4981910540090,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:10:52Z,upcitemdb_001
,nokian,,215/45R17,2154517,6419440424019,ean,6419440424019,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:11:06Z,upcitemdb_001
,nokian,,225/50R16,2255016,6419440214443,ean,6419440214443,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:11:06Z,upcitemdb_001
,sumitomo,,235/60R18,2356018,746573248318,upc,746573248318,https://www.upcitemdb.com/info-sumitomo_tires,missing model,missing model,2026-06-23T06:11:21Z,upcitemdb_001
,laufenn,,235/60R18,2356018,715459374168,upc,715459374168,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,235/40R19,2354019,715459448142,upc,715459448142,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,265/70R18,2657018,715459448401,upc,715459448401,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,225/55R17,2255517,715459373871,upc,715459373871,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,245/70R16,2457016,715459394371,upc,715459394371,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,235/55R19,2355519,715459448111,upc,715459448111,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,245/55R19,2455519,715459448418,upc,715459448418,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,225/45R19,2254519,715459539673,upc,715459539673,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,245/40R19,2454019,715459448166,upc,715459448166,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,245/45R20,2454520,715459448258,upc,715459448258,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,255/50R20,2555020,715459448265,upc,715459448265,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,255/40R18,2554018,715459387953,upc,715459387953,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,laufenn,,205/50R17,2055017,715459388110,upc,715459388110,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:11:23Z,upcitemdb_001
,radar,,35x12.50R18,35125018,8886459515126,ean,8886459515126,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:11:48Z,upcitemdb_001
,radar,,33x12.50R20,33125020,8886459515133,ean,8886459515133,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:11:48Z,upcitemdb_001
,radar,,35x12.50R22,35125022,8886459515188,ean,8886459515188,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:11:48Z,upcitemdb_001
,federal,,195/60R15,1956015,4713959225887,ean,4713959225887,https://www.upcitemdb.com/info-federal_tires,missing model,missing model,2026-06-23T06:11:53Z,upcitemdb_001
,lexani,,225/55R17,2255517,682318594220,upc,682318594220,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:11:55Z,upcitemdb_001
,lexani,,ST205/75R15,2057515,682318594770,upc,682318594770,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:11:55Z,upcitemdb_001
,lexani,,265/30R22,2653022,6921109012609,ean,6921109012609,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:11:55Z,upcitemdb_001
,lionhart,,275/35R24,2753524,6921109013309,ean,6921109013309,https://www.upcitemdb.com/info-lionhart_tires,missing model,missing model,2026-06-23T06:11:57Z,upcitemdb_001
,kumho,,235/60R18,2356018,8808956278403,ean,,https://www.upcitemdb.com/info-kumho_tires,missing model,missing model,2026-06-23T06:18:22Z,upcitemdb_001
,nitto,,37x11.50R20,37115020,4981910537656,ean,,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:18:26Z,upcitemdb_001
,nitto,,LT285/55R20,2855520,4981910540090,ean,,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:18:27Z,upcitemdb_001
,nokian,,215/45R17,2154517,6419440424019,ean,,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:18:40Z,upcitemdb_001
,nokian,,225/50R16,2255016,6419440214443,ean,,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:18:40Z,upcitemdb_001
,sumitomo,,235/60R18,2356018,746573248318,upc,,https://www.upcitemdb.com/info-sumitomo_tires,missing model,missing model,2026-06-23T06:18:54Z,upcitemdb_001
,laufenn,,235/60R18,2356018,715459374168,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,235/40R19,2354019,715459448142,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,265/70R18,2657018,715459448401,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,225/55R17,2255517,715459373871,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,245/70R16,2457016,715459394371,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,235/55R19,2355519,715459448111,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,245/55R19,2455519,715459448418,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,225/45R19,2254519,715459539673,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,245/40R19,2454019,715459448166,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,245/45R20,2454520,715459448258,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,255/50R20,2555020,715459448265,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,255/40R18,2554018,715459387953,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,laufenn,,205/50R17,2055017,715459388110,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:18:56Z,upcitemdb_001
,radar,,35x12.50R18,35125018,8886459515126,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:19:20Z,upcitemdb_001
,radar,,33x12.50R20,33125020,8886459515133,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:19:20Z,upcitemdb_001
,radar,,35x12.50R22,35125022,8886459515188,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:19:20Z,upcitemdb_001
,federal,,195/60R15,1956015,4713959225887,ean,,https://www.upcitemdb.com/info-federal_tires,missing model,missing model,2026-06-23T06:19:25Z,upcitemdb_001
,lexani,,225/55R17,2255517,682318594220,upc,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:19:28Z,upcitemdb_001
,lexani,,ST205/75R15,2057515,682318594770,upc,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:19:28Z,upcitemdb_001
,lexani,,265/30R22,2653022,6921109012609,ean,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:19:28Z,upcitemdb_001
,lionhart,,275/35R24,2753524,6921109013309,ean,,https://www.upcitemdb.com/info-lionhart_tires,missing model,missing model,2026-06-23T06:19:30Z,upcitemdb_001
,kumho,,235/60R18,2356018,8808956278403,ean,,https://www.upcitemdb.com/info-kumho_tires,missing model,missing model,2026-06-23T06:22:44Z,upcitemdb_001
,nitto,,37x11.50R20,37115020,4981910537656,ean,,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:22:49Z,upcitemdb_001
,nitto,,LT285/55R20,2855520,4981910540090,ean,,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:22:49Z,upcitemdb_001
,nokian,,215/45R17,2154517,6419440424019,ean,,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:23:05Z,upcitemdb_001
,nokian,,225/50R16,2255016,6419440214443,ean,,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:23:05Z,upcitemdb_001
,sumitomo,,235/60R18,2356018,746573248318,upc,,https://www.upcitemdb.com/info-sumitomo_tires,missing model,missing model,2026-06-23T06:23:20Z,upcitemdb_001
,laufenn,,235/60R18,2356018,715459374168,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,235/40R19,2354019,715459448142,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,265/70R18,2657018,715459448401,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,225/55R17,2255517,715459373871,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,245/70R16,2457016,715459394371,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,235/55R19,2355519,715459448111,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,245/55R19,2455519,715459448418,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,225/45R19,2254519,715459539673,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,245/40R19,2454019,715459448166,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,245/45R20,2454520,715459448258,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,255/50R20,2555020,715459448265,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,255/40R18,2554018,715459387953,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,laufenn,,205/50R17,2055017,715459388110,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:23:22Z,upcitemdb_001
,radar,,35x12.50R18,35125018,8886459515126,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:23:47Z,upcitemdb_001
,radar,,33x12.50R20,33125020,8886459515133,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:23:47Z,upcitemdb_001
,radar,,35x12.50R22,35125022,8886459515188,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:23:47Z,upcitemdb_001
,federal,,195/60R15,1956015,4713959225887,ean,,https://www.upcitemdb.com/info-federal_tires,missing model,missing model,2026-06-23T06:23:51Z,upcitemdb_001
,lexani,,225/55R17,2255517,682318594220,upc,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:23:53Z,upcitemdb_001
,lexani,,ST205/75R15,2057515,682318594770,upc,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:23:53Z,upcitemdb_001
,lexani,,265/30R22,2653022,6921109012609,ean,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:23:53Z,upcitemdb_001
,lionhart,,275/35R24,2753524,6921109013309,ean,,https://www.upcitemdb.com/info-lionhart_tires,missing model,missing model,2026-06-23T06:23:56Z,upcitemdb_001
,kumho,,235/60R18,2356018,8808956278403,ean,,https://www.upcitemdb.com/info-kumho_tires,missing model,missing model,2026-06-23T06:39:39Z,upcitemdb_001
,nitto,,37x11.50R20,37115020,4981910537656,ean,,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:39:48Z,upcitemdb_001
,nitto,,LT285/55R20,2855520,4981910540090,ean,,https://www.upcitemdb.com/info-nitto_tires,missing model,missing model,2026-06-23T06:39:48Z,upcitemdb_001
,nokian,,215/45R17,2154517,6419440424019,ean,,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:40:16Z,upcitemdb_001
,nokian,,225/50R16,2255016,6419440214443,ean,,https://www.upcitemdb.com/info-nokian_tires,missing model,missing model,2026-06-23T06:40:16Z,upcitemdb_001
,sumitomo,,235/60R18,2356018,746573248318,upc,,https://www.upcitemdb.com/info-sumitomo_tires,missing model,missing model,2026-06-23T06:40:45Z,upcitemdb_001
,laufenn,,235/60R18,2356018,715459374168,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,235/40R19,2354019,715459448142,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,265/70R18,2657018,715459448401,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,225/55R17,2255517,715459373871,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,245/70R16,2457016,715459394371,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,235/55R19,2355519,715459448111,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,245/55R19,2455519,715459448418,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,225/45R19,2254519,715459539673,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,245/40R19,2454019,715459448166,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,245/45R20,2454520,715459448258,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,255/50R20,2555020,715459448265,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,255/40R18,2554018,715459387953,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,laufenn,,205/50R17,2055017,715459388110,upc,,https://www.upcitemdb.com/info-laufenn_tires,missing model,missing model,2026-06-23T06:40:50Z,upcitemdb_001
,radar,,35x12.50R18,35125018,8886459515126,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:41:43Z,upcitemdb_001
,radar,,33x12.50R20,33125020,8886459515133,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:41:43Z,upcitemdb_001
,radar,,35x12.50R22,35125022,8886459515188,ean,,https://www.upcitemdb.com/info-radar_tires,missing model,missing model,2026-06-23T06:41:43Z,upcitemdb_001
,federal,,195/60R15,1956015,4713959225887,ean,,https://www.upcitemdb.com/info-federal_tires,missing model,missing model,2026-06-23T06:41:54Z,upcitemdb_001
,lexani,,225/55R17,2255517,682318594220,upc,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:41:59Z,upcitemdb_001
,lexani,,ST205/75R15,2057515,682318594770,upc,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:41:59Z,upcitemdb_001
,lexani,,265/30R22,2653022,6921109012609,ean,,https://www.upcitemdb.com/info-lexani_tires,missing model,missing model,2026-06-23T06:41:59Z,upcitemdb_001
,lionhart,,275/35R24,2753524,6921109013309,ean,,https://www.upcitemdb.com/info-lionhart_tires,missing model,missing model,2026-06-23T06:42:04Z,upcitemdb_001
,chaoyang,,165/60R14,1656014,669168905260,upc,,https://www.upcitemdb.com/info-chaoyang_tires,missing model,missing model,2026-06-23T06:43:53Z,upcitemdb_001
,haida,,35x12.50R20,35125020,6905322019737,ean,,https://www.upcitemdb.com/info-haida_tires,missing model,missing model,2026-06-23T06:45:06Z,upcitemdb_001
,haida,,225/50R18,2255018,6905322021891,ean,,https://www.upcitemdb.com/info-haida_tires,missing model,missing model,2026-06-23T06:45:06Z,upcitemdb_001
,haida,,205/55R17,2055517,6905322024205,ean,,https://www.upcitemdb.com/info-haida_tires,missing model,missing model,2026-06-23T06:45:06Z,upcitemdb_001
,haida,,285/35R22,2853522,6905322019188,ean,,https://www.upcitemdb.com/info-haida_tires,missing model,missing model,2026-06-23T06:45:07Z,upcitemdb_001
,haida,,275/60R20,2756020,6905322020054,ean,,https://www.upcitemdb.com/info-haida_tires,missing model,missing model,2026-06-23T06:45:07Z,upcitemdb_001
