"partNumber","description","barcode","chatgptTier","checkDigitValid","prefix"
"BH4120858","Blackhawk Ridgecrawler A/T BSW TL LT265/75R16 123S E","8935341208582","med","YES","893534"
"9265031141","Fortune Tormenta R/T FSR-309 BSW TL LT265/70R17 123Q E","840139642838","high","YES","840139"
"BH1601021","Blackhawk Agility UHP AS BSW 255/45R20 105Y XL","8848116010214","med","YES","884811"
"9295030141","Fortune Tormenta R/T FSR-309 BSW LT295/65R20 126Q E","UNKNOWN","low","-","-"
"3239030603","Fortune Perfectus FSR-602 BSW 205/70R16 97H SL","UNKNOWN","low","-","-"
"BH4120885","Blackhawk Ridgecrawler A/T BSW TL LT275/65R20 126R E","8935341208858","med","YES","893534"
"NX15506","Nexen Roadian GTX BSW 101H 235/55R19 105V SL","UNKNOWN","low","-","-"
"3538030703","Fortune Perfectus FSR-602 BSW TL 225/55R17 97V SL","840139632341","high","YES","840139"
"PT151263","Pantera Platinum Touring A/S BSW TL 235/75R15 105T SL","UNKNOWN","low","-","-"
"BH4120194","Blackhawk Agility SUV BSW 245/50R20 102V SL","8935341201941","med","YES","893534"
"BH4120152","Blackhawk Agility SUV BSW 225/55R18 98V SL","8935341201521","med","YES","893534"
"20000559","RoyalBlack Racing Trac 245/45R18 Z XL","UNKNOWN","low","-","-"
"PT107185","Pantera Supertrac AT BSW TL LT285/70R17 121Q E","UNKNOWN","low","-","-"
"BH1601024","Blackhawk Agility UHP AS BSW 275/40R20 106Y XL","8848116010245","med","YES","884811"
"TH41167","Arisun Aresta A/T ZG06 BSW LT235/85R16 120S E","8859305541167","med","YES","885930"
"BH4120168","Blackhawk Agility SUV BSW 235/60R16 100H SL","8935341201682","med","YES","893534"
"9275030041","Fortune Tormenta R/T FSR-309 BSW LT275/65R20 126Q E","UNKNOWN","low","-","-"
"BH1600481","Blackhawk Ridgecrawler R/T BSW TL LT275/65R20 126Q E","8848116004817","med","YES","884811"
"NX18773","Nexen Roadian ATX BSW TL LT265/70R17 123S E","191563016307","high","YES","191563"
"TH40856","Arisun Aresta ZG02 BSW 285/45R22 114H SL","8859305540856","high","YES","885930"
"9245030204","Fortune Tormenta H/T FSR-305 BSW TL LT245/75R17 121S E","840139634130","high","YES","840139"
"BH4120174","Blackhawk Agility SUV BSW 255/60R19 109H SL","8935341201743","med","YES","893534"
"NX17407","Nexen Roadian GTX BSW 255/50R19 107H XL","UNKNOWN","low","-","-"
"9285030441","Fortune Tormenta R/T FSR-309 BSW LT285/65R18 125Q E","840139634864","high","YES","840139"
"BH4120193","Blackhawk Agility SUV BSW 245/70R16 107T SL","8935341201934","med","YES","893534"
"NX18735","Nexen Roadian ATX BSW 285/45R22 114H XL","191563015928","high","YES","191563"
"BH5546799","Blackhawk Street-H HH11 BSW 205/70R15 96T SL","6959655467994","med","YES","695965"
"NT431328","NOKIAN ONE BSW 235/65R17 104H SL","UNKNOWN","low","-","-"
"NX17991","Nexen Roadian HTX2 OWL 255/65R17 110T SL","191563014976","high","YES","191563"
"BH1600448","Blackhawk Ridgecrawler R/T BSW 275/55R20 117T XL","8848116004480","med","YES","884811"
"NX18764","Nexen Roadian ATX BSW 245/70R17 110T SL","191563016215","high","YES","191563"
"BH4120890","Blackhawk Ridgecrawler A/T BSW 285/45R22 114H XL","8935341208902","med","YES","893534"
"BH4120181","Blackhawk Agility SUV AS BSW 275/40R20 106Y XL","8935341201811","med","YES","893534"
"3942030907","Fortune Viento FSR-702 BSW 265/35R18 97Y XL","840139633461","high","YES","840139"
"BH1600988","Blackhawk Agility UHP AS BSW 225/55R19 103W XL","8848116009881","med","YES","884811"
"BH5548294","Blackhawk BAR26SP Regional AP BSW 245/70R19.5/H 135/133M","UNKNOWN","low","-","-"
"3221030503","Fortune Perfectus FSR-602 BSW 175/70R14 84T SL","840139632075","high","YES","840139"
"BH5546801","Blackhawk Street-H HH11 BSW 225/65R16 100H SL","6959655468014","med","YES","695965"
"9295030041","Fortune Tormenta R/T FSR-309 BSW LT295/70R18 126Q E","840139634888","med","YES","840139"
"BH1600999","Blackhawk Agility UHP AS BSW 235/55R17 103W XL","8848116009997","med","YES","884811"
"F-28817529","Falken Sincera ST80 A/S BSW TL 235/60R17 102T SL","848983013033","high","YES","848983"
"3938030907","Fortune Viento FSR-702 BSW 255/35R20 97Y XL","840139633409","high","YES","840139"
"9295030441","Fortune Tormenta R/T FSR-309 BSW LT295/55R20 123Q E","840139634932","high","YES","840139"
"NX17609","Nexen Roadian ATX BSW TL 265/70R17 115T SL","191563015850","high","YES","191563"
"NT431190","Nokian One HT BSW 265/60R18 110H SL","UNKNOWN","low","-","-"
"3314030603","Fortune Perfectus FSR-602 BSW 175/65R15 84H SL","840139632068","high","YES","840139"
"EVX0295","Evolux Capricorn UHP BSW 265/35R22 102W XL","UNKNOWN","low","-","-"
"PT151355","Pantera Platinum Touring A/S BSW 225/50R18 99V XL","UNKNOWN","low","-","-"
"BH5545911","BLACKHAWK Blackhawk Hiscend-H HT01 BSW 235/70R16 106T SL","6959655459111","high","YES","695965"
"160080","Toyo Eclipse BSW TL 175/65R14 81T SL","UNKNOWN","low","-","-"
