"line","partNumber","description","barcode","checkDigitValid","synthesized(embedsSKU)","prefix","brand?","chatgptConf","tier","note"
"22","BH1602524","Blackhawk Ridgecrawler HT02 BSW 275/60R20 115T SL","8848116025249","YES","1602524","884811","blackhawk","high","blackhawk_provisional",""
"23","D10022847","Dunlop Blue Response A/S 215/55R17 94V SL","848983035448","YES","no","848983","D10022847","high","sourced_plausible",""
"24","NX17962","Nexen Roadian HTX2 BSW 265/60R18 110H SL","191563014730","YES","no","191563","NX17962","high","sourced_plausible",""
"25","TH19777","Arisun Aresta ZG02 BSW 235/65R18 106H SL","079163067700","YES","no","791630","TH19777","high","sourced_plausible",""
"26","BH4120147","Blackhawk Agility SUV BSW 235/65R18 106H SL","8935341201477","YES","4120147","893534","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH4120"
"27","3347030603","Fortune Perfectus FSR-602 BSW 235/65R18 106H SL","840139632518","YES","no","840139","3347030603","high","sourced_plausible",""
"28","3260030504","Fortune Tormenta H/T FSR-305 245/70R17 110T SL","840139632860","YES","no","840139","3260030504","high","sourced_plausible",""
"29","BH4120146","Blackhawk Agility SUV BSW 255/50R20 109V XL","8935341201460","YES","4120146","893534","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH4120"
"30","NX17948","Nexen Roadian HTX2 BSW TL 255/50R20 105H SL","191563014624","YES","no","191563","NX17948","high","sourced_plausible",""
"31","BH1600993","Blackhawk Agility UHP AS BSW TL 235/45R18 98W XL","8848116009935","YES","1600993","884811","blackhawk","high","blackhawk_provisional",""
"32","275-30-20 ARROYO","Arroyo Grand Sport A/S BSW 275/30R20 97W XL","841623125431","YES","no","841623","275","med","sourced_plausible",""
"33","3468030604","Fortune Tormenta H/T FSR-305 BSW 275/60R20 115H SL","840139633003","YES","no","840139","3468030604","high","sourced_plausible",""
"34","NX13313","Nexen Aria AH7 BSW 235/60R18 103H SL","887613331307","YES","no","887613","NX13313","high","sourced_plausible",""
"35","3446030703","Fortune Perfectus FSR-602 BSW 235/60R18 103V SL","840139632488","YES","no","840139","3446030703","high","sourced_plausible",""
"36","BH1600979","Blackhawk Agility UHP AS 225/40R18 92W XL","8848116009799","YES","1600979","884811","blackhawk","med","blackhawk_provisional",""
"37","ARST022","Arroyo All Steel Trailer Tire ST235/80R16 H","840156486101","YES","no","840156","ARST022","high","sourced_plausible",""
"38","TH41266","Arisun Aresta A/T ZG06 BSW LT265/70R17 121S E","8859305541266","YES","41266","885930","TH41266","med","sourced_plausible",""
"39","ZCLNM0210","Nama NM394 Trailer Radial 10 Ply ST205/75R15/E 111/106M","UNKNOWN","-","-","-","ZCLNM0210","low","unknown",""
"40","BH4120170","Blackhawk Agility SUV BSW 225/65R17 102H SL","8935341201705","YES","4120170","893534","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH4120"
"41","BH5546800","Blackhawk Street-H HH11 BSW 205/50R17 89V SL","6959655468007","YES","5546800","695965","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH5546"
"42","BH5546787","Blackhawk Street-H HH11 BSW 185/65R15 92H XL","6959655467871","YES","5546787","695965","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH5546"
"43","BH5546786","Blackhawk Street-H HH11 BSW 205/65R16 95H SL","6959655467864","YES","5546786","695965","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH5546"
"44","BH5546783","Blackhawk Street-H HH11 BSW 195/60R15 88H SL","6959655467833","YES","5546783","695965","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH5546"
"45","BH4120165","Blackhawk Agility SUV BSW 100H TL 215/70R16 100H SL","8935341201651","YES","4120165","893534","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH4120"
"46","BH4120149","Blackhawk Agility SUV BSW 255/50R19 107V XL","8935341201491","YES","4120149","893534","blackhawk","high","blackhawk_provisional","CROSS-BATCH PREFIX CONFLICT for BH4120"
"47","BH1602535","Blackhawk Ridgecrawler HT02 BSW LT215/85R16 115R E","8848116025355","YES","1602535","884811","blackhawk","med","blackhawk_provisional",""
"48","BH1602532","Blackhawk Ridgecrawler HT02 BSW 265/70R17 115T SL","8848116025324","YES","1602532","884811","blackhawk","high","blackhawk_provisional",""
"49","BH1602490","Blackhawk Ridgecrawler HT02 BSW TL 275/55R20 117T XL","8848116024907","YES","1602490","884811","blackhawk","med","blackhawk_provisional",""
"50","BH1601022","Blackhawk Agility UHP AS BSW TL 275/35R20 102Y XL","8848116010221","YES","1601022","884811","blackhawk","med","blackhawk_provisional",""
