"partNumber","description","barcode","chatgptTier","checkDigitValid","prefix","provenance","validation"
"LG3670","AIRLOC P607 SMOOTH TL 18X9.50-8","810000550630","high","YES","810000","external_app_1src","pass (well-formed, prefix matches known Airloc 810000; not yet in corpus)"
"BH4120166","Blackhawk Agility SUV BSW 235/60R17 102H SL","8935341201668","high","YES","893534","external_app_1src","pass (well-formed, prefix matches BH412x family 893534; not yet in corpus)"
"NX15506","Nexen Roadian GTX BSW 101H 235/55R19 105V SL","191563023534","high","YES","191563","external_app_1src","pass (well-formed, prefix matches known Nexen 191563 (second real Nexen prefix); not yet in corpus)"
"BH5546785","Blackhawk Street-H HH11 BSW 205/65R15 94H SL","6959655467857","high","YES","695965","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH55xx prefix family confirmed)"
"PT151263","Pantera Platinum Touring A/S BSW TL 235/75R15 105T SL","841623151263","high","YES","841623","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Pantera 841623 prefix confirmed)"
"C5110301","Carlstar Turf Saver 15x6.00-6/A","033259044679","high","YES","033259","external_app_1src","pass (well-formed, not yet in corpus; no reference Carlstar prefix on file to cross-check)"
"BH4120881","Blackhawk Ridgecrawler A/T BSW TL 275/60R20 115T SL","8935341208810","high","YES","893534","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, BH412x prefix family confirmed)"
"PT107185","Pantera Supertrac AT BSW TL LT285/70R17 121Q E","841623107185","high","YES","841623","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Pantera 841623 prefix confirmed)"
"NX15241","Nexen Roadian CT8 HL BSW 235/65R16C/E 121/119R","887613524105","high","YES","887613","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Nexen 887613 prefix confirmed)"
"NX17407","Nexen Roadian GTX BSW 255/50R19 107H XL","191563007879","high","YES","191563","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Nexen 191563 prefix confirmed)"
"TH12389","Westlake Skidsteer R4 EL78 12-16.5 /12","655360475427","med","YES","655360","external_app_1src","flag: alternate-identifier-noted (Crowdfused and eBay publish exact MPN/UPC; another eBay listing says UPC does not apply) - pass (well-formed, not yet in corpus; no reference Westlake prefix on file to cross-check against this specific block)"
"NT431328","NOKIAN ONE BSW 235/65R17 104H SL","6419440424279","high","YES","641944","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Nokian 6419440 prefix confirmed)"
"BH1600462","Blackhawk Ridgecrawler R/T BSW 33x12.50R20LT/F 119Q","8848116004626","high","YES","884811","external_app_1src","pass (well-formed, prefix matches BH160x family 884811; not yet in corpus)"
"LG2460","AIRLOC P508A STRAIGHT RIB 15X6.00-6","810000553723","high","YES","810000","external_app_1src","pass (well-formed, prefix matches known Airloc 810000; not yet in corpus)"
"PT151355","Pantera Platinum Touring A/S BSW 225/50R18 99V XL","841623151355","high","YES","841623","external_app_1src","pass (two-source-confirmed: corpus brand/model/size agree, Pantera 841623 prefix confirmed)"
